Actor,costar1,costar2,crew1,crew2,crew3
 Holmes Herbert, May McAvoy, Charles Ray, William Nigh, Kate Corbaley, Robert N. Lee
 Salman Khan, Preity Zinta, Bhumika Chawla, Atul Agnihotri, Atul Agnihotri, 
 Preity Zinta, Salman Khan, Bhumika Chawla, Atul Agnihotri, Atul Agnihotri, 
 Bhumika Chawla, Salman Khan, Preity Zinta, Atul Agnihotri, Atul Agnihotri, 
 Orson Welles, Oliver Reed, Carol White, Michael Winner, Peter Draper, 
 Oliver Reed, Orson Welles, Carol White, Michael Winner, Peter Draper, 
 Carol White, Orson Welles, Oliver Reed, Michael Winner, Peter Draper, 
 Sterling Hayden, Richard Carlson, William Phipps, Lesley Selander, Steve Fisher, 
 Richard Carlson, Sterling Hayden, William Phipps, Lesley Selander, Steve Fisher, 
 William Phipps, Sterling Hayden, Richard Carlson, Lesley Selander, Steve Fisher, 
 Max Eastman, Vladimir Ilyich Lenin, Leon Trotsky, Herman Axelbank, Herman Axelbank, Max Eastman
 Vladimir Ilyich Lenin, Max Eastman, Leon Trotsky, Herman Axelbank, Herman Axelbank, Max Eastman
 Leon Trotsky, Max Eastman, Vladimir Ilyich Lenin, Herman Axelbank, Herman Axelbank, Max Eastman
 Kevin Kline, Emile Hirsch, Embeth Davidtz, Michael Hoffman, Ethan Canin, Neil Tolkin
 Emile Hirsch, Kevin Kline, Embeth Davidtz, Michael Hoffman, Ethan Canin, Neil Tolkin
 Embeth Davidtz, Kevin Kline, Emile Hirsch, Michael Hoffman, Ethan Canin, Neil Tolkin
 Sylvester Stallone, Talia Shire, Burt Young, John G. Avildsen, Sylvester Stallone, Robert Chartoff
 Talia Shire, Sylvester Stallone, Burt Young, John G. Avildsen, Sylvester Stallone, Robert Chartoff
 Burt Young, Sylvester Stallone, Talia Shire, John G. Avildsen, Sylvester Stallone, Robert Chartoff
 Willie Nelson, Waylon Jennings, Johnny Cash, Ted Post, , 
 Waylon Jennings, Willie Nelson, Johnny Cash, Ted Post, , 
 Johnny Cash, Willie Nelson, Waylon Jennings, Ted Post, , 
 Vince Edwards, Phillip Pine, Herschel Bernardi, Leon Chooluck, Irving Lerner, Ben Simcoe
 Phillip Pine, Vince Edwards, Herschel Bernardi, Leon Chooluck, Irving Lerner, Ben Simcoe
 Herschel Bernardi, Vince Edwards, Phillip Pine, Leon Chooluck, Irving Lerner, Ben Simcoe
 Johan Edlund, , , , , 
 Kenan Thompson, Fran Kranz, Zachary Levi, Mark Steilen, Suzanne Francis, Gabe Grifoni
 Fran Kranz, Kenan Thompson, Zachary Levi, Mark Steilen, Suzanne Francis, Gabe Grifoni
 Zachary Levi, Kenan Thompson, Fran Kranz, Mark Steilen, Suzanne Francis, Gabe Grifoni
 George Eastman, Gordon Mitchell, Krung Srivilai, Franco Lattanzi, , 
 Gordon Mitchell, George Eastman, Krung Srivilai, Franco Lattanzi, , 
 Krung Srivilai, George Eastman, Gordon Mitchell, Franco Lattanzi, , 
 Robert Carradine, Curtis Armstrong, Ted McGinley, Steve Zacharias, , 
 Curtis Armstrong, Robert Carradine, Ted McGinley, Steve Zacharias, , 
 Ted McGinley, Robert Carradine, Curtis Armstrong, Steve Zacharias, , 
 Renee O'Connor, Larry Joe Campbell, Grant Krause, Richard Brauer, , 
 Larry Joe Campbell, Renee O'Connor, Grant Krause, Richard Brauer, , 
 Grant Krause, Renee O'Connor, Larry Joe Campbell, Richard Brauer, , 
 Kate Hudson, Joan Cusack, Hayden Panettiere, Garry Marshall, Ashok Amritraj, David Hoberman
